I/OGSETS,TSSB7,MGSB702,TSSB7-SBCSB01,TERMINASI,NULL,ETISALAT,10,-,-,SBC ACME PACKET,inservice,NULL,NULL
I/OGSGH1,TSSB7 ,MGSB702,TSSB7 - SBCSB01,TERMINASI,NULL,GAHARU,19,NULL,NULL,SBC ACME PACKET,inservice,NULL,NULL
I/OGSNG1,TSSB7,MGSB702,TSSB7-SBC SURABAYA (direct connection),TERMINASI,NULL,NGT,NULL,NULL,NULL,not set,trial,NULL,NULL
I/OGSNG2,TSSB7,MGSB702,TSSB7-SBC SURABAYA (internet public connection),TERMINASI,NULL,NGT,NULL,NULL,NULL,not set,trial,NULL,NULL
I/OGSNG3,TSSB7,MGSB702,TSSB7-SBC SURABAYA (internet connection),ORIGINASI,NULL,NGT,NULL,NULL,NULL,not set,trial,NULL,NULL
I/OGSNG4,TSSB7,MGSB702,TSSB7 - SBC Surabaya  NGT no CLI,TERMINASI,NULL,NGT,9,NULL,NULL,SBC ACME PACKET,inservice,NULL,NULL
I/OGSNG5,TSSB7,MGSB702,TSSB7 - SBC Surabaya NGT for DiGi,TERMINASI,NULL,NGT,20,NULL,NULL,SBC ACME PACKET,inservice,NULL,NULL
I/OGSNGO,TSSB7,MGSB702,TSSB7-SBC SURABAYA (direct connection),ORIGINASI,NULL,NGT,NULL,NULL,NULL,not set,trial,NULL,NULL
I/OGSSN1,TSSB7,MGSB702,TSSB7 - SBC SURABAYA,TERMINASI,NULL,SMARTONE,10,-,-,SBC ACME PACKET,inservice,NULL,NULL
I/OGSST1,TSSB7,MGSB702,TSSB7 - SBC Surabaya shinetown 01000 (via direct),ORIGINASI,NULL,SHINETOWN,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
I/OGSST2,TSSB7,MGSB702,TSSB7 - SBC Surabaya shinetown 01000 (via public),ORIGINASI,NULL,SHINETOWN,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
I/OGSST3,TSSB7,MGSB702,TSSB7 - SBC Surabaya (via direct),terminasi,NULL,SHINETOWN,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
I/OGSST4,TSSB7,MGSB702,TSSB7 - SBC Surabaya (via public),terminasi,NULL,SHINETOWN,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
I/OGSST5,TSSB7,MGSB702,TSSB7 - SBC Surabaya (via direct),terminasi,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
I/OGSST6,TSSB7,MGSB702,TSSB7 - SBC Surabaya (via direct),terminasi,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
I/OGSST7,TSSB7,MGSB702,TSSB7 - SBC Surabaya (via direct),terminasi,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
I/OGSTES,TSSB7,MGSB702,TSSB7-SBC SURABAYA,NULL,NULL,SBCSB01 TESTING,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
IXBETS,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  Etisalat,TERMINASI,NULL,ETISALAT,10,-,-,SBC ACME PACKET,inservice,NULL,6000-6309
IXBFR1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Orange FT,TERMINASI,NULL,ORANGE FT,6,-,-,SBC ACME PACKET,inservice,NULL,6000-6371
IXBJJ2,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  JJ TELECOM,TERMINASI,NULL,JJ TELECOM (partner BUSOL),2,-,-,SBC ACME PACKET,INSERVICE,NULL,6000-6063
IXBJJ3,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  JJ TELECOM,TERMINASI,NULL,JJ TELECOM (partner BUSOL),NULL,-,-,SBC ACME PACKET,trial,NULL,6000-6063
IXBJJT,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  JJ TELECOM (busol Partner),TERMINASI,NULL,JJ TELECOM (partner BUSOL),2,-,-,SBC ACME PACKET,INSERVICE,NULL,6000-6063
IXBSL4,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Sing Tel (inet public),TERMINASI,NULL,SINGTEL,7,-,-,SBC ACME PACKET,trial,NULL,6000-6433
IXBST1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via bintaro),TERMINASI,NULL,SHINETOWN,27,-,-,SBC ACME PACKET,inservice,NULL,6000-7673
IXBST2,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via bintaro),TERMINASI,NULL,SHINETOWN,10,-,-,SBC ACME PACKET,inservice,NULL,6000-6619
IXBST3,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via PTP Bintaro),TERMINASI,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
IXBST4,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via router ICR jkt),TERMINASI,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
IXBST5,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Shinetown  (via router ICR jkt),TERMINASI,NULL,SHINETOWN,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
IXBTL1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Telindo,TERMINASI,NULL,TELINDO,1,-,-,SBC ACME PACKET,inservice,NULL,6000-6619
IXBTM5,TSJ19,MGJ1902,TSJ19 - SBC Bintaro TM Singapore,terminasi,NULL,TM SINGAPORE,NULL,NULL,NULL,SBC ACME PACKET,trial,NULL,NULL
OXACL6,TSJ19,MGJ1901,MGJ1901 - Celcom Shah Alam (via Equinix),ORIGINASI,NULL,CELCOM,20,10409,10278,Direct,inservice,NULL,NULL
OXACL7,TSJ19,MGJ1901,MGJ1901 - Celcom Kepong (via Equinix),ORIGINASI,NULL,CELCOM,17,10409,10279,Direct,inservice,NULL,NULL
OXBBG5,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Belga CLI origination 01000,ORIGINASI,NULL,BELGA,1,-,-,SBC ACME PACKET,INSERVICE,NULL,6000-7239
OXBBG6,TSJ19,MGJ1902,TSJ19 - SBC Bintaro Belga CLI origination MSRN,ORIGINASI,NULL,BELGA,2,-,-,SBC ACME PACKET,INSERVICE,NULL,6000-7239
OXBCL4,TSJ19,MGJ1902,TSJ19 - SBC Bintaro- Celcom (VoIP corporate),ORIGINASI,NULL,CELCOM (VoIP corporate),NULL,-,-,SBC ACME PACKET,trial,NULL,6000-11827
OXBDLG,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  Dialog Origination,ORIGINASI,NULL,DIALOG,1,-,-,SBC ACME PACKET,inservice,NULL,6000-6003
OXBETS,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  Etisalat,ORIGINASI,NULL,ETISALAT,2,-,-,SBC ACME PACKET,inservice,NULL,6000-6123
OXBGH1,TSJ19,MGJ1902,TSJ19 - SBC BintaroGAHARU CLI,originasi,NULL,GAHARU (voIP corporate),1,NULL,NULL,SBC ACME PACKET,trial,NULL,6000-7983
OXBJJ1,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  JJ TELECOM,originasi,NULL,JJ TELECOM (partner BUSOL),NULL,-,-,SBC ACME PACKET,trial,NULL,6000-6063
OXBJJT,TSJ19,MGJ1902,TSJ19 - SBC Bintaro  JJ TELECOM,originasi,NULL,JJ TELECOM (partner BUSOL),NULL,-,-,SBC ACME PACKET,trial,NULL,6000-6063
OXBN10,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT  VoIP Corp (161662),ORIGINASI,NULL,NGT,14,-,-,SBC ACME PACKET,inservice,NULL,6000-6309
OXBN11,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT CLI,ORIGINASI,NULL,NGT,NULL,-,-,SBC ACME PACKET,trial,NULL,NULL
OXBNG9,TSJ19,MGJ1902,TSJ19 - SBC Bintaro NGT,ORIGINASI,NULL,NGT,37,-,-,SBC ACME PACKET,inservice,NULL,6000-8367
